Date,Hour,Minute,Second,Milisecond,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
2021-09-24,15,16,23,147,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,23,156,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,23,164,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,23,177,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,23,204,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,23,216,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,23,225,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,23,235,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,23,244,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,23,254,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,23,264,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,23,274,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,23,295,-0.578,5.2,0.674,0,0,0,1
